epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.67931,1.13701,5.14278,1.19945,7e-05,0.01004,0.00062,0.00039,0.9786,4.35888,1.08337,8.33e-06,8.33e-06,8.33e-06
2,4.8889,1.14039,5.11337,1.20354,7e-05,0.01031,0.00068,0.00044,0.96986,4.35981,1.07906,1.60829e-05,1.60829e-05,1.60829e-05
3,6.98783,1.12858,5.04365,1.19619,7e-05,0.01031,0.00079,0.00052,0.96567,4.35778,1.07724,2.19507e-05,2.19507e-05,2.19507e-05
4,8.96505,1.12935,5.08751,1.20078,7e-05,0.01037,0.00089,0.00059,0.96029,4.36171,1.07718,2.59337e-05,2.59337e-05,2.59337e-05
